n,o_NearestNeighbor_mean,o_NearestNeighbor_std,o_LKFlip_mean,o_LKFlip_std,o_LK2Opt_mean,o_LK2Opt_std,o_ChristophDeschauer_mean,o_ChristophDeschauer_std,t_NearestNeighbor_mean,t_NearestNeighbor_std,t_LKFlip_mean,t_LKFlip_std,t_LK2Opt_mean,t_LK2Opt_std,t_ChristophDeschauer_mean,t_ChristophDeschauer_std
10,2.612313863795239,0.093462255453966,3.697890774333419,0.3627721511447687,2.532435780240297,0.04436819469130525,2.525744659920795,8.881784197001252e-16,0.0,0.0,0.0023294846216837567,0.0022093320607301497,0.0012115796407063803,0.0014100847059884652,0.0,0.0
20,4.310445773104257,0.40652739859285925,7.671911513284404,1.299975530357295,3.8055596584022684,0.10132205252804223,4.278154572167391,8.881784197001252e-16,0.0,0.0,0.015301696459452311,0.007507132520456509,0.018268815676371255,0.004188888402841776,0.0001666863759358724,0.0003727229388486499
30,4.613289021715335,0.35556836926029034,12.345794079631796,1.520005468054076,4.571210410341333,0.18369183554077348,4.563243870144017,8.881784197001252e-16,0.0002487500508626302,0.0009204605539087483,0.051590919494628906,0.02834943326984397,0.08870019117991129,0.008109906200037398,0.0007548093795776367,0.002050236180112504
40,7.6101806487016965,0.2974564778982014,17.097971063889947,2.6281971412020924,5.994972261834258,0.1567584170208149,6.774994087329628,2.6645352591003757e-15,0.0006022930145263671,0.0017446416246234486,0.16200605233510335,0.08233613311452044,0.235525639851888,0.021909632411611153,0.001030723253885905,0.0018204661659401925
50,7.743291709736919,0.34614694104668875,21.73155470951493,3.53677140406433,6.282710049886076,0.19251096494040185,7.2423048904942995,1.7763568394002505e-15,0.0006476879119873047,0.001379706181687604,0.3428260962168376,0.1795744442995807,0.5802513440450032,0.030849669656948703,0.0011853456497192382,0.0015887148528083035
60,8.433323998482752,0.40413431759692087,23.53723494573919,5.3479217201007145,7.165758781537137,0.20979052467086384,8.25337490411892,1.7763568394002505e-15,0.0007200320561726888,0.0005476924714289385,0.7042760610580444,0.4679455983446312,1.1504299879074096,0.07225179613758459,0.0017154693603515625,0.0015363842049637107
70,8.658724411504087,0.2662520339891563,28.145048854674737,4.397407884745028,7.344519681731595,0.19207335169974799,8.148826723437105,1.7763568394002505e-15,0.002464771270751953,0.0043729533929184805,1.131071718533834,0.536104617359363,2.0587656021118166,0.12565615431879978,0.0020568052927652995,0.0030396829028389236
80,9.209360179029696,0.35348070079829513,32.41437768692993,6.173479350838733,8.068007481005456,0.25846256056231737,9.273587854418617,1.7763568394002505e-15,0.0026547908782958984,0.0034122235335085228,1.8627139727274578,1.0652438473365151,3.5497893492380777,0.21967206331751196,0.003545816739400228,0.0038284402777947293
90,9.846842320464607,0.306502132398415,32.279473690593605,8.402758132409337,8.599495066630945,0.26147843262675446,9.585583808361458,3.552713678800501e-15,0.0026236454645792644,0.003265885705974048,3.7892929474512735,2.350819748452889,5.261520878473918,0.21701003643154057,0.0032766977945963543,0.0045214185310024175
100,11.101466126332712,0.47916369949917875,40.50190595595156,7.7449965710885,8.861235225870528,0.2472370778109483,10.470610713862028,3.552713678800501e-15,0.00545042355855306,0.005216822119960295,3.9031763950983684,2.7768940495740875,8.041452725728353,0.25638757866448175,0.002753925323486328,0.0036538283125263967
